2020-06-22
 14:32:41.784911100
Data/J30/ 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j30_1_1.rcp | 0.06816231 | 24 | 43 | 13 | 0.0349871 | 24 | 43 | 13 |  
j30_1_2.rcp | 3.0028224 | 18521 | 47 | 31236 | 1.7194363 | 18521 | 47 | 31236 |  
j30_1_3.rcp | 0.0060586 | 38 | 47 | 22 | 0.0050748 | 38 | 47 | 22 |  
j30_1_4.rcp | 300.0138 | 5035176 | -1 | 137258 | 300.006 | 8891587 | -1 | 247431 |  
j30_1_5.rcp | 49.76143 | 404136 | 39 | 586219 | 29.42135 | 404136 | 39 | 589011 |  
j30_1_6.rcp | 5.088079 | 33674 | 48 | 30049 | 3.1667514 | 33674 | 48 | 36695 |  
j30_1_7.rcp | 0.0031925 | 17 | 60 | 12 | 0.0017797 | 17 | 60 | 12 |  
j30_1_8.rcp | 0.0016778 | 13 | 53 | 13 | 0.0011756 | 13 | 53 | 13 |  
j30_1_9.rcp | 300.00098 | 2704163 | -1 | 3006479 | 203.19305 | 3411082 | 49 | 3930793 |  
j30_1_10.rcp | 0.0126018 | 70 | 45 | 132 | 0.0092073 | 70 | 45 | 132 |  
j30_2_1.rcp | 0.0048811 | 23 | 38 | 28 | 0.002262 | 23 | 38 | 28 |  
j30_2_2.rcp | 0.0029552 | 26 | 51 | 10 | 0.0024673 | 26 | 51 | 10 |  
j30_2_3.rcp | 0.0012113 | 14 | 43 | 1 | 7.234E-4 | 14 | 43 | 1 |  
j30_2_4.rcp | 0.002377 | 19 | 43 | 5 | 0.001247 | 19 | 43 | 5 |  
j30_2_5.rcp | 0.0024456 | 37 | 51 | 15 | 0.0014871 | 37 | 51 | 15 |  
j30_2_6.rcp | 0.0023826 | 21 | 47 | 9 | 0.0014672 | 21 | 47 | 9 |  
j30_2_7.rcp | 0.0014454 | 13 | 47 | 8 | 0.00128 | 13 | 47 | 8 |  
j30_2_8.rcp | 0.0024671 | 20 | 54 | 19 | 0.0032699 | 20 | 54 | 19 |  
j30_2_9.rcp | 0.0038039 | 20 | 54 | 18 | 0.0023371 | 20 | 54 | 18 |  
j30_2_10.rcp | 0.0089006 | 78 | 43 | 67 | 0.0043711 | 78 | 43 | 67 |  
j30_3_1.rcp | 0.0014913 | 13 | 72 | 5 | 0.0014233 | 13 | 72 | 5 |  
j30_3_2.rcp | 0.0023913 | 18 | 40 | 6 | 0.0010553 | 18 | 40 | 6 |  
j30_3_3.rcp | 0.0017497 | 15 | 57 | 8 | 8.612E-4 | 15 | 57 | 8 |  
j30_3_4.rcp | 0.0015223 | 15 | 98 | 8 | 0.0010135 | 15 | 98 | 8 |  
j30_3_5.rcp | 0.0029393 | 31 | 53 | 9 | 0.001964 | 31 | 53 | 9 |  
j30_3_6.rcp | 0.001839 | 19 | 54 | 5 | 0.0013255 | 19 | 54 | 5 |  
j30_3_7.rcp | 0.0019719 | 16 | 48 | 6 | 0.0011288 | 16 | 48 | 6 |  
j30_3_8.rcp | 0.0010674 | 13 | 54 | 3 | 7.675E-4 | 13 | 54 | 3 |  
j30_3_9.rcp | 0.0079759 | 87 | 65 | 30 | 0.0065229 | 87 | 65 | 30 |  
j30_3_10.rcp | 0.0029881 | 18 | 59 | 9 | 0.0022418 | 18 | 59 | 9 |  
j30_4_1.rcp | 0.0011694 | 13 | 49 | 2 | 0.0011302 | 13 | 49 | 2 |  
j30_4_2.rcp | 0.001415 | 16 | 60 | 4 | 0.0011542 | 16 | 60 | 4 |  
j30_4_3.rcp | 0.0015422 | 13 | 47 | 5 | 9.86E-4 | 13 | 47 | 5 |  
j30_4_4.rcp | 0.0010465 | 12 | 57 | 2 | 8.211E-4 | 12 | 57 | 2 |  
j30_4_5.rcp | 0.0016586 | 14 | 59 | 5 | 0.0014928 | 14 | 59 | 5 |  
