2020-05-12
 15:40:31.189115900
Data/j60/J60 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j60_1_1.rcp | 300.00793 | 3265729 | -1 | 2325259 | 300.00116 | 3492488 | -1 | 2293830 |  
j60_1_2.rcp | 0.0253363 | 54 | 68 | 122 | 0.0240148 | 54 | 68 | 140 |  
j60_1_3.rcp | 300.00958 | 2433877 | -1 | 1773894 | 300.01202 | 1550886 | -1 | 3578763 |  
j60_1_4.rcp | 300.00095 | 1860319 | -1 | 2243627 | 300.0107 | 1506056 | -1 | 2590334 |  
j60_1_5.rcp | 16.925467 | 146634 | 73 | 76289 | 17.163012 | 137010 | 73 | 93634 |  
j60_1_6.rcp | 300.01123 | 1911088 | -1 | 1891422 | 300.01254 | 1747822 | -1 | 1559175 |  
j60_1_7.rcp | 300.0005 | 2098654 | -1 | 2963700 | 300.0006 | 1878571 | -1 | 3125315 |  
j60_1_8.rcp | 300.0003 | 3059045 | -1 | 2631684 | 300.00845 | 4140816 | -1 | 1317771 |  
j60_1_9.rcp | 300.00067 | 1386706 | -1 | 2400783 | 300.0138 | 1133343 | -1 | 2154257 |  
j60_1_10.rcp | 0.012943 | 46 | 80 | 33 | 0.0095297 | 46 | 80 | 46 |  
j60_2_1.rcp | 0.0050192 | 35 | 65 | 9 | 0.0042782 | 35 | 65 | 14 |  
j60_2_2.rcp | 0.0051171 | 36 | 82 | 10 | 0.0057371 | 36 | 82 | 18 |  
j60_2_3.rcp | 0.0047599 | 26 | 78 | 13 | 0.0047538 | 26 | 78 | 18 |  
j60_2_4.rcp | 0.0057264 | 31 | 78 | 11 | 0.0055512 | 31 | 78 | 19 |  
j60_2_5.rcp | 0.0053136 | 30 | 54 | 7 | 0.0051167 | 30 | 54 | 16 |  
j60_2_6.rcp | 0.0088799 | 32 | 64 | 9 | 0.0048295 | 32 | 64 | 15 |  
j60_2_7.rcp | 0.0064591 | 38 | 53 | 8 | 0.0073609 | 38 | 53 | 10 |  
j60_2_8.rcp | 0.0068766 | 26 | 66 | 8 | 0.0058189 | 26 | 66 | 15 |  
j60_2_9.rcp | 0.0039457 | 31 | 65 | 7 | 0.0051502 | 31 | 65 | 10 |  
j60_2_10.rcp | 0.0110377 | 50 | 69 | 10 | 0.0110292 | 50 | 69 | 16 |  
j60_3_1.rcp | 0.0033976 | 26 | 60 | 2 | 0.004104 | 26 | 60 | 3 |  
j60_3_2.rcp | 0.0057455 | 27 | 69 | 5 | 0.0041284 | 27 | 69 | 10 |  
j60_3_3.rcp | 0.0062505 | 32 | 105 | 2 | 0.0048355 | 32 | 105 | 7 |  
j60_3_4.rcp | 0.0037324 | 28 | 81 | 3 | 0.0042825 | 28 | 81 | 4 |  
j60_3_5.rcp | 0.004 | 23 | 83 | 0 | 0.0036646 | 23 | 83 | 4 |  
