2020-05-21
 18:15:45.849369500
Data/J90/ 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j90_2_1.rcp | 0.2392065 | 38 | 96 | 6 | 0.0482906 | 38 | 96 | 16 |  
j90_2_2.rcp | 0.0325875 | 51 | 114 | 14 | 0.0640656 | 51 | 114 | 25 |  
j90_2_3.rcp | 0.0321923 | 50 | 75 | 18 | 0.0438517 | 50 | 75 | 34 |  
j90_2_4.rcp | 0.0420044 | 63 | 70 | 21 | 0.0856768 | 63 | 70 | 60 |  
j90_2_5.rcp | 0.0348182 | 35 | 100 | 22 | 0.0696205 | 35 | 100 | 34 |  
j90_2_6.rcp | 0.0358694 | 41 | 67 | 9 | 0.07170729 | 41 | 67 | 19 |  
j90_2_7.rcp | 0.0360808 | 47 | 92 | 11 | 0.072791904 | 47 | 92 | 25 |  
j90_2_8.rcp | 0.0246773 | 33 | 82 | 7 | 0.0296194 | 33 | 82 | 17 |  
j90_2_9.rcp | 0.0589037 | 68 | 79 | 18 | 0.0408197 | 68 | 79 | 24 |  
j90_2_10.rcp | 300.00034 | 911062 | -1 | 756283 | 300.00037 | 293986 | -1 | 493255 |  
j90_3_1.rcp | 0.019302 | 39 | 81 | 1 | 0.0155776 | 39 | 81 | 6 |  
j90_3_2.rcp | 0.0134748 | 39 | 84 | 4 | 0.0124529 | 39 | 84 | 8 |  
j90_3_3.rcp | 0.0112943 | 36 | 71 | 3 | 0.013168 | 36 | 71 | 9 |  
j90_3_4.rcp | 0.014162 | 36 | 104 | 6 | 0.01084 | 36 | 104 | 9 |  
j90_3_5.rcp | 0.0116268 | 34 | 75 | 6 | 0.0100768 | 34 | 75 | 11 |  
j90_3_6.rcp | 0.0119575 | 44 | 68 | 6 | 0.014372 | 44 | 68 | 13 |  
j90_3_7.rcp | 0.0102158 | 40 | 87 | 6 | 0.0128392 | 40 | 87 | 11 |  
j90_3_8.rcp | 300.00006 | 4346903 | -1 | 135869 | 300.00012 | 5437934 | -1 | 1444308 |  
j90_3_9.rcp | 0.0125808 | 39 | 61 | 4 | 0.0084516 | 39 | 61 | 9 |  
j90_3_10.rcp | 0.0122155 | 40 | 65 | 3 | 0.0095637 | 40 | 65 | 7 |  
j90_4_1.rcp | 0.0068386 | 37 | 93 | 0 | 0.0065084 | 37 | 93 | 1 |  
j90_4_2.rcp | 0.0057447 | 32 | 89 | 3 | 0.0061597 | 32 | 89 | 5 |  
