2020-05-15
21:26:17.129902400
Data/J90/
 BRANCHEMENT STATIQUE 
 Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j90_1_1.rcp | 300.00052 | 839725 | -1 | 1140418 | 300.00058 | 582535 | -1 | 858292 | 
j90_1_2.rcp | 0.0309372 | 58 | 92 | 44 | 0.0315747 | 58 | 92 | 51 | 
j90_1_3.rcp | 300.00027 | 3036796 | -1 | 815357 | 300.0001 | 640507 | -1 | 1288658 | 
j90_1_4.rcp | 300.00015 | 791900 | -1 | 1677847 | 300.00015 | 457424 | -1 | 842432 | 
j90_1_5.rcp | 300.00092 | 839859 | -1 | 1465716 | 300.001 | 455207 | -1 | 1566561 | 
j90_1_6.rcp | 300.00095 | 951954 | -1 | 1050995 | 300.00073 | 572716 | -1 | 733532 | 
j90_1_7.rcp | 300.0002 | 931267 | -1 | 1084285 | 300.00018 | 519587 | -1 | 648912 | 
j90_1_8.rcp | 300.00092 | 554819 | -1 | 1099936 | 300.0009 | 363632 | -1 | 969608 | 
j90_1_9.rcp | 300.00018 | 920816 | -1 | 695877 | 300.00024 | 868175 | -1 | 335944 | 
j90_1_10.rcp | 300.00073 | 1149480 | -1 | 1502527 | 300.0002 | 1442779 | -1 | 1364580 |  
j90_2_1.rcp | 0.1122709 | 38 | 96 | 6 | 0.080358304 | 38 | 96 | 16 |  
j90_2_2.rcp | 0.0607628 | 51 | 114 | 14 | 0.0684036 | 51 | 114 | 23 |  
j90_2_3.rcp | 0.0546236 | 50 | 75 | 18 | 0.074188 | 50 | 75 | 32 |  
j90_2_4.rcp | 0.0641754 | 63 | 70 | 21 | 0.0543417 | 63 | 70 | 58 |  
j90_2_5.rcp | 0.0345482 | 35 | 100 | 22 | 0.0313537 | 35 | 100 | 34 |  
j90_2_6.rcp | 0.0391153 | 41 | 67 | 9 | 0.03131 | 41 | 67 | 19 |  
j90_2_7.rcp | 0.047173 | 47 | 92 | 11 | 0.0315964 | 47 | 92 | 25 |  
j90_2_8.rcp | 0.0266578 | 33 | 82 | 7 | 0.0279859 | 33 | 82 | 17 |  
j90_2_9.rcp | 0.0440647 | 68 | 79 | 18 | 0.0401477 | 68 | 79 | 22 |  
j90_2_10.rcp | 300.00073 | 849963 | -1 | 695281 | 300.00012 | 695519 | -1 | 1227112 |  
j90_3_1.rcp | 0.0104085 | 39 | 81 | 1 | 0.0083349 | 39 | 81 | 6 |  
j90_3_2.rcp | 0.0095272 | 39 | 84 | 4 | 0.0101532 | 39 | 84 | 8 |  
j90_3_3.rcp | 0.0073861 | 36 | 71 | 3 | 0.0065079 | 36 | 71 | 9 |  
j90_3_4.rcp | 0.0093045 | 36 | 104 | 6 | 0.0087569 | 36 | 104 | 9 |  
j90_3_5.rcp | 0.0094746 | 34 | 75 | 6 | 0.0114052 | 34 | 75 | 11 |  
j90_3_6.rcp | 0.0092578 | 44 | 68 | 6 | 0.0095437 | 44 | 68 | 13 |  
j90_3_7.rcp | 0.0123248 | 40 | 87 | 6 | 0.0120099 | 40 | 87 | 11 |  
j90_3_8.rcp | 300.0004 | 4534418 | -1 | 141736 | 300.00012 | 6089531 | -1 | 1580146 |  
j90_3_9.rcp | 0.008473 | 39 | 61 | 4 | 0.0067163 | 39 | 61 | 9 |  
j90_3_10.rcp | 0.0094305 | 40 | 65 | 3 | 0.0083842 | 40 | 65 | 7 |  
j90_4_1.rcp | 0.0067856 | 37 | 93 | 0 | 0.0054306 | 37 | 93 | 1 |  
j90_4_2.rcp | 0.0066271 | 32 | 89 | 3 | 0.0056413 | 32 | 89 | 5 |  
j90_4_3.rcp | 0.006054 | 32 | 67 | 1 | 0.0048501 | 32 | 67 | 1 |  
j90_4_4.rcp | 0.0088351 | 30 | 92 | 1 | 0.0076938 | 30 | 92 | 2 |  
j90_4_5.rcp | 0.0071604 | 36 | 88 | 1 | 0.005684 | 36 | 88 | 1 |  
j90_4_6.rcp | 0.0057229 | 29 | 78 | 2 | 0.0046936 | 29 | 78 | 3 |  
j90_4_7.rcp | 0.0062478 | 33 | 80 | 0 | 0.0051874 | 33 | 80 | 1 |  
j90_4_8.rcp | 0.0103733 | 31 | 69 | 0 | 0.0065373 | 31 | 69 | 4 |  
j90_4_9.rcp | 0.0066546 | 34 | 79 | 1 | 0.0095446 | 34 | 79 | 4 |  
j90_4_10.rcp | 0.009882 | 32 | 68 | 0 | 0.0049447 | 32 | 68 | 0 |  
j90_5_1.rcp | 300.0002 | 593699 | -1 | 337885 | 300.00055 | 104416 | -1 | 375698 |  
j90_5_2.rcp | 300.00195 | 551843 | -1 | 695166 | 300.00055 | 107643 | -1 | 587367 |  
j90_5_3.rcp | 300.0001 | 605837 | -1 | 206189 | 300.00046 | 464902 | -1 | 215039 |  
j90_5_4.rcp | 300.0001 | 875788 | -1 | 69083 | 300.00012 | 108462 | -1 | 459435 |  
j90_5_5.rcp | 300.00012 | 576760 | -1 | 252667 | 300.00137 | 281264 | -1 | 210716 |  
j90_5_6.rcp | 300.0006 | 1612454 | -1 | 103325 | 300.0002 | 220556 | -1 | 150817 |  
j90_5_7.rcp | 300.00015 | 849699 | -1 | 103113 | 300.0065 | 163721 | -1 | 319061 |  
j90_5_8.rcp | 300.00183 | 332466 | -1 | 762340 | 300.00012 | 99284 | -1 | 566742 |  
j90_5_9.rcp | 300.00034 | 602986 | -1 | 315105 | 300.0014 | 92244 | -1 | 322555 |  
j90_5_10.rcp | 300.00098 | 542751 | -1 | 544624 | 300.0002 | 143956 | -1 | 567828 |  
j90_6_1.rcp | 300.00027 | 524719 | -1 | 72355 | 300.00186 | 472348 | -1 | 323010 |  
j90_6_2.rcp | 0.85425067 | 1356 | 86 | 409 | 0.87032175 | 1356 | 86 | 864 |  
j90_6_3.rcp | 300.00076 | 505316 | -1 | 253640 | 300.0047 | 412238 | -1 | 450595 |  
j90_6_4.rcp | 300.0015 | 592620 | -1 | 92466 | 300.00027 | 570127 | -1 | 403626 |  
j90_6_5.rcp | 300.00034 | 680649 | -1 | 255004 | 300.0036 | 272781 | -1 | 1465150 |  
j90_6_6.rcp | 0.0503788 | 43 | 98 | 11 | 0.045946 | 43 | 98 | 46 |  
j90_6_7.rcp | 300.00024 | 747664 | -1 | 181984 | 300.00012 | 698325 | -1 | 300271 |  
j90_6_8.rcp | 300.00027 | 514501 | -1 | 171969 | 300.0001 | 401048 | -1 | 424035 |  
j90_6_9.rcp | 300.00015 | 640824 | -1 | 16257 | 300.00015 | 657064 | -1 | 97150 |  
j90_6_10.rcp | 300.00177 | 409318 | -1 | 289521 | 300.00824 | 178118 | -1 | 620764 |  
j90_7_1.rcp | 0.0306887 | 37 | 88 | 7 | 0.0205756 | 37 | 88 | 10 |  
j90_7_2.rcp | 0.022708 | 34 | 77 | 6 | 0.0197166 | 34 | 77 | 14 |  
j90_7_3.rcp | 0.0318624 | 37 | 80 | 1 | 0.0246578 | 37 | 80 | 8 |  
j90_7_4.rcp | 0.0333001 | 34 | 86 | 1 | 0.0292881 | 34 | 86 | 12 |  
j90_7_5.rcp | 0.0312725 | 29 | 79 | 2 | 0.0197402 | 29 | 79 | 6 |  
j90_7_6.rcp | 0.0313663 | 41 | 90 | 7 | 0.0304907 | 41 | 90 | 31 |  
j90_7_7.rcp | 0.0256708 | 33 | 90 | 1 | 0.0203009 | 33 | 90 | 10 |  
j90_7_8.rcp | 0.0373769 | 53 | 60 | 0 | 0.0255717 | 53 | 60 | 2 |  
j90_7_9.rcp | 0.0243637 | 31 | 83 | 2 | 0.0223258 | 31 | 83 | 5 |  
j90_7_10.rcp | 0.0274218 | 37 | 98 | 5 | 0.0243948 | 37 | 98 | 19 |  
j90_8_1.rcp | 0.0219245 | 37 | 96 | 0 | 0.0178169 | 37 | 96 | 0 |  
j90_8_2.rcp | 0.0204736 | 35 | 78 | 2 | 0.0186897 | 35 | 78 | 5 |  
j90_8_3.rcp | 0.017186 | 34 | 70 | 0 | 0.0140032 | 34 | 70 | 2 |  
j90_8_4.rcp | 0.0240609 | 34 | 77 | 4 | 0.020507 | 34 | 77 | 8 |  
j90_8_5.rcp | 0.0207408 | 36 | 63 | 1 | 0.0162115 | 36 | 63 | 2 |  
j90_8_6.rcp | 0.0176301 | 32 | 70 | 0 | 0.0167475 | 32 | 70 | 4 |  
j90_8_7.rcp | 0.0206027 | 37 | 77 | 0 | 0.0188528 | 37 | 77 | 0 |  
j90_8_8.rcp | 0.019534 | 34 | 68 | 0 | 0.0147854 | 34 | 68 | 3 |  
j90_8_9.rcp | 0.0238658 | 32 | 97 | 0 | 0.0169069 | 32 | 97 | 1 |  
j90_8_10.rcp | 0.0236051 | 31 | 88 | 0 | 0.0137428 | 31 | 88 | 2 |  
j90_9_1.rcp | 300.0079 | 709789 | -1 | 309466 | 300.0059 | 65156 | -1 | 202469 |  
j90_9_2.rcp | 300.0003 | 429866 | -1 | 91316 | 300.01385 | 69296 | -1 | 304251 |  
j90_9_3.rcp | 300.0043 | 172729 | -1 | 563795 | 300.00024 | 129519 | -1 | 340801 |  
j90_9_4.rcp | 300.00037 | 572674 | -1 | 265143 | 300.00864 | 125021 | -1 | 184916 |  
j90_9_5.rcp | 300.0007 | 589846 | -1 | 52877 | 300.02917 | 61532 | -1 | 108108 |  
j90_9_6.rcp | 300.0015 | 285799 | -1 | 153724 | 300.01016 | 40338 | -1 | 182009 |  
j90_9_7.rcp | 300.00024 | 449330 | -1 | 337912 | 300.0103 | 63006 | -1 | 289644 |  
j90_9_8.rcp | 300.00027 | 570697 | -1 | 63511 | 300.0023 | 131724 | -1 | 199963 |  
j90_9_9.rcp | 300.00168 | 226677 | -1 | 240093 | 300.01758 | 38784 | -1 | 146558 |  
j90_9_10.rcp | 300.00293 | 219978 | -1 | 322315 | 300.01398 | 41645 | -1 | 251647 |  
j90_10_1.rcp | 300.0001 | 271665 | -1 | 39271 | 300.00034 | 192461 | -1 | 234658 |  
j90_10_2.rcp | 300.00473 | 205660 | -1 | 45223 | 300.00003 | 152768 | -1 | 139393 |  
j90_10_3.rcp | 300.00034 | 234793 | -1 | 38162 | 300.00067 | 249606 | -1 | 37219 |  
j90_10_4.rcp | 300.00024 | 314371 | -1 | 15251 | 300.0007 | 188805 | -1 | 371120 |  
j90_10_5.rcp | 300.0007 | 272380 | -1 | 122171 | 300.0003 | 223836 | -1 | 453113 |  
j90_10_6.rcp | 0.0879886 | 43 | 92 | 3 | 0.064353 | 43 | 92 | 9 |  
j90_10_7.rcp | 300.0012 | 348440 | -1 | 93285 | 300.00046 | 339680 | -1 | 172064 |  
j90_10_8.rcp | 300.001 | 282337 | -1 | 24944 | 300.0078 | 111309 | -1 | 181148 |  
j90_10_9.rcp | 300.00076 | 248561 | -1 | 137842 | 300.00067 | 405195 | -1 | 330128 |  
j90_10_10.rcp | 300.00165 | 198578 | -1 | 301263 | 300.00098 | 181176 | -1 | 467296 |  
j90_11_1.rcp | 24.75088 | 27336 | 86 | 976 | 20.566412 | 27336 | 86 | 6105 |  
j90_11_2.rcp | 0.0859369 | 41 | 99 | 6 | 0.079396896 | 33 | 99 | 22 |  
j90_11_3.rcp | 0.0569227 | 25 | 69 | 2 | 0.0468895 | 25 | 69 | 6 |  
j90_11_4.rcp | 0.09471191 | 70 | 64 | 14 | 0.082850896 | 70 | 64 | 40 |  
j90_11_5.rcp | 0.0447604 | 35 | 81 | 1 | 0.0366851 | 35 | 81 | 6 |  
j90_11_6.rcp | 300.0004 | 304338 | -1 | 42937 | 300.00067 | 333013 | -1 | 150300 |  
j90_11_7.rcp | 0.0454607 | 30 | 95 | 1 | 0.0400172 | 30 | 95 | 9 |  
j90_11_8.rcp | 300.0003 | 242666 | -1 | 30767 | 300.00137 | 236609 | -1 | 86052 |  
j90_11_9.rcp | 300.00052 | 276677 | -1 | 1 | 300.0003 | 323545 | -1 | 48144 |  
j90_11_10.rcp | 300.00092 | 273057 | -1 | 52849 | 300.00116 | 277778 | -1 | 202405 |  
j90_12_1.rcp | 0.0414788 | 40 | 71 | 0 | 0.0317467 | 40 | 71 | 0 |  
