2020-05-16
 10:19:56.445164600
Data/KSD15/ 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j30_1_1.rcp | 0.0207416 | 11 | 282 | 4 | 0.0103026 | 11 | 282 | 4 |  
j30_1_2.rcp | 0.0041325 | 9 | 382 | 0 | 0.0031969 | 9 | 382 | 1 |  
j30_1_3.rcp | 0.0178441 | 50 | 511 | 10 | 0.0211035 | 50 | 511 | 11 |  
j30_1_4.rcp | 0.0074704 | 36 | 531 | 8 | 0.0076595 | 36 | 531 | 10 |  
j30_1_5.rcp | 0.0023774 | 11 | 281 | 6 | 0.0014473 | 11 | 281 | 6 |  
j30_1_6.rcp | 0.0023805 | 10 | 285 | 1 | 0.0023475 | 10 | 285 | 4 |  
j30_1_7.rcp | 300.00027 | 5942302 | -1 | 3730028 | 300.00018 | 5236896 | -1 | 2643952 |  
j30_1_8.rcp | 0.0039486 | 63 | 308 | 45 | 0.0055566 | 63 | 308 | 47 |  
j30_1_9.rcp | 0.0019827 | 59 | 430 | 4 | 0.0035362 | 59 | 430 | 32 |  
j30_1_10.rcp | 8.345E-4 | 11 | 454 | 3 | 4.897E-4 | 11 | 454 | 3 |  
j30_2_1.rcp | 7.703E-4 | 10 | 377 | 1 | 0.0012124 | 10 | 377 | 5 |  
j30_2_2.rcp | 7.341E-4 | 10 | 503 | 0 | 7.151E-4 | 10 | 503 | 1 |  
j30_2_3.rcp | 0.0100673 | 249 | 429 | 19 | 0.0077092 | 249 | 429 | 23 |  
j30_2_4.rcp | 5.602E-4 | 10 | 384 | 1 | 5.973E-4 | 10 | 384 | 1 |  
j30_2_5.rcp | 6.415E-4 | 10 | 430 | 1 | 7.763E-4 | 10 | 430 | 2 |  
j30_2_6.rcp | 0.0098862 | 264 | 381 | 3 | 0.0057727 | 264 | 381 | 4 |  
j30_2_7.rcp | 6.939E-4 | 9 | 276 | 1 | 4.894E-4 | 9 | 276 | 2 |  
j30_2_8.rcp | 9.366E-4 | 10 | 803 | 2 | 0.0018563 | 10 | 803 | 5 |  
j30_2_9.rcp | 9.175E-4 | 8 | 405 | 1 | 0.0014031 | 8 | 405 | 3 |  
j30_2_10.rcp | 6.337E-4 | 9 | 379 | 2 | 7.907E-4 | 9 | 379 | 3 |  
j30_3_1.rcp | 0.0014642 | 27 | 494 | 0 | 0.0019299 | 27 | 494 | 0 |  
j30_3_2.rcp | 6.62E-4 | 9 | 383 | 0 | 4.759E-4 | 9 | 383 | 2 |  
j30_3_3.rcp | 7.347E-4 | 11 | 476 | 2 | 4.654E-4 | 11 | 476 | 3 |  
j30_3_4.rcp | 4.868E-4 | 9 | 997 | 1 | 5.479E-4 | 9 | 997 | 1 |  
j30_3_5.rcp | 4.849E-4 | 10 | 484 | 4 | 6.032E-4 | 10 | 484 | 4 |  
j30_3_6.rcp | 5.717E-4 | 10 | 328 | 2 | 4.53E-4 | 10 | 328 | 3 |  
j30_3_7.rcp | 5.831E-4 | 10 | 506 | 1 | 6.327E-4 | 10 | 506 | 1 |  
j30_3_8.rcp | 4.71E-4 | 9 | 368 | 1 | 6.932E-4 | 9 | 368 | 2 |  
j30_3_9.rcp | 8.778E-4 | 10 | 262 | 2 | 8.096E-4 | 10 | 262 | 2 |  
j30_3_10.rcp | 7.597E-4 | 8 | 359 | 0 | 8.252E-4 | 8 | 359 | 0 |  
j30_4_1.rcp | 4.16E-4 | 8 | 335 | 0 | 4.6E-4 | 8 | 335 | 1 |  
j30_4_2.rcp | 4.33E-4 | 10 | 308 | 0 | 4.161E-4 | 10 | 308 | 0 |  
j30_4_3.rcp | 0.0010723 | 46 | 356 | 2 | 0.0010767 | 46 | 356 | 2 |  
j30_4_4.rcp | 9.544E-4 | 9 | 304 | 0 | 0.0011123 | 9 | 304 | 1 |  
j30_4_5.rcp | 0.0017986 | 36 | 294 | 1 | 0.0020435 | 36 | 294 | 2 |  
j30_4_6.rcp | 5.015E-4 | 8 | 394 | 0 | 5.108E-4 | 8 | 394 | 0 |  
j30_4_7.rcp | 2.819E-4 | 8 | 629 | 1 | 2.993E-4 | 8 | 629 | 1 |  
j30_4_8.rcp | 2.884E-4 | 9 | 482 | 0 | 2.71E-4 | 9 | 482 | 0 |  
j30_4_9.rcp | 5.223E-4 | 11 | 235 | 0 | 4.686E-4 | 11 | 235 | 1 |  
j30_4_10.rcp | 2.648E-4 | 7 | 760 | 1 | 2.932E-4 | 7 | 760 | 1 |  
j30_5_1.rcp | 0.0025771 | 13 | 360 | 5 | 0.0041614 | 13 | 360 | 15 |  
j30_5_2.rcp | 0.0042787 | 47 | 484 | 40 | 0.0040943 | 47 | 484 | 42 |  
j30_5_3.rcp | 300.0001 | 4794898 | -1 | 3822366 | 300.0001 | 4491382 | -1 | 3261301 |  
