2020-05-14
 18:53:36.729577300
Data/PACK/PACK BRANCHEMENT STATIQUE  
 Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|
pack001 | 0.7458183 | 1881 | 23 | 2261 | 0.36146042 | 1299 | 23 | 2120 |  
pack002 | 0.0994176 | 589 | 32 | 435 | 0.1168049 | 589 | 32 | 896 |  
pack003 | 300.12088 | 1389666 | -1 | 1735817 | 300.00473 | 1120996 | -1 | 2603311 |  
pack004 | 300.00018 | 1148746 | -1 | 1346924 | 300.00012 | 1090853 | -1 | 1340734 |  
pack005 | 300.0001 | 2329302 | -1 | 2035634 | 300.00012 | 1992293 | -1 | 2686808 |  
pack006 | 300.00006 | 2509775 | -1 | 1653905 | 300.00012 | 2067576 | -1 | 2406421 |  
pack007 | 300.00015 | 3550845 | -1 | 1785278 | 300.00015 | 3147436 | -1 | 1638340 |  
pack008 | 300.00037 | 2344483 | -1 | 1458021 | 300.0001 | 2073876 | -1 | 1717118 |  
pack009 | 300.00006 | 2139751 | -1 | 756299 | 300.0001 | 1594807 | -1 | 942735 |  
pack010 | 0.0144452 | 74 | 38 | 78 | 0.0136741 | 74 | 38 | 91 |  
pack011 | 0.0921449 | 473 | 44 | 528 | 0.100351505 | 473 | 44 | 553 |  
pack012 | 300.00006 | 2233882 | -1 | 139758 | 300.00012 | 1410815 | -1 | 1070077 |  
pack013 | 23.018488 | 208897 | 36 | 147325 | 19.930668 | 193359 | 36 | 93523 |  
pack014 | 300.00006 | 1467074 | -1 | 1359268 | 300.0001 | 1231243 | -1 | 1044334 |  
pack015 | 0.30259708 | 2967 | 43 | 1738 | 0.4138357 | 2729 | 43 | 3553 |  
pack016 | 300.0002 | 1003446 | -1 | 808816 | 300.00037 | 915881 | -1 | 800754 |  
pack017 | 300.0003 | 1297007 | -1 | 346448 | 300.0003 | 1025550 | -1 | 674276 |  
pack018 | 300.0002 | 1109075 | -1 | 513206 | 300.00015 | 994329 | -1 | 521531 |  
pack019 | 300.0003 | 1173241 | -1 | 858738 | 300.00024 | 1112747 | -1 | 746675 |  
pack020 | 300.00003 | 687657 | -1 | 709858 | 300.00046 | 565029 | -1 | 606136 |  
pack021 | 300.00067 | 1399178 | -1 | 1855236 | 300.00058 | 920630 | -1 | 1746193 |  
pack022 | 300.0001 | 1761523 | -1 | 6800 | 300.00006 | 1452740 | -1 | 1034622 |  
pack023 | 300.00024 | 1193608 | -1 | 1576894 | 300.00027 | 1030379 | -1 | 1017107 |  
pack024 | 300.00018 | 1796575 | -1 | 321214 | 300.00006 | 1467242 | -1 | 672548 |  
pack025 | 300.00012 | 1529333 | -1 | 56 | 300.00006 | 809503 | -1 | 497789 |  
pack026 | 300.00006 | 1054843 | -1 | 1103571 | 300.0011 | 885768 | -1 | 772545 |  
pack027 | 300.0001 | 1379293 | -1 | 818079 | 300.0002 | 1022140 | -1 | 1051692 |  
pack028 | 300.00015 | 942489 | -1 | 987034 | 300.00012 | 882623 | -1 | 977555 |  
pack029 | 300.00006 | 1474226 | -1 | 1590293 | 300.00006 | 1098017 | -1 | 1358049 |  
pack030 | 0.0072122 | 67 | 20 | 43 | 0.0073925 | 65 | 20 | 60 |  
pack031 | 0.0030347 | 91 | 70 | 38 | 0.0078058 | 91 | 70 | 50 |  
pack032 | 300.00006 | 6244558 | -1 | 1166517 | 300.00018 | 3648286 | -1 | 3145989 |  
pack033 | 300.0001 | 4308672 | -1 | 4710112 | 300.00003 | 2747831 | -1 | 5925026 |  
pack034 | 300.00006 | 3107612 | -1 | 4566455 | 300.00012 | 2354199 | -1 | 4449677 |  
pack035 | 300.00003 | 6548969 | -1 | 2065998 | 300.00015 | 5344067 | -1 | 1866052 |  
pack036 | 300.0001 | 4363422 | -1 | 2845166 | 300.00006 | 2083589 | -1 | 797969 |  
pack037 | 300.00006 | 7463235 | -1 | 146427 | 300.00003 | 5534596 | -1 | 446005 |  
pack038 | 300.00006 | 2783044 | -1 | 1869978 | 300.00052 | 2934465 | -1 | 3508017 |  
pack039 | 300.00006 | 2221530 | -1 | 3512918 | 300.00012 | 1775099 | -1 | 4768751 |  
pack040 | 300.00015 | 3142679 | -1 | 2365931 | 300.00012 | 3528475 | -1 | 1494912 |  
pack041 | 300.00024 | 1309812 | -1 | 1212038 | 300.00052 | 1195964 | -1 | 1931413 |  
pack042 | 78.741806 | 336742 | 29 | 247067 | 56.567734 | 257284 | 29 | 234335 |  
pack043 | 300.00006 | 3688245 | -1 | 2003169 | 300.00006 | 2296163 | -1 | 3496242 |  
pack044 | 300.00027 | 1762823 | -1 | 2923660 | 300.0002 | 1570807 | -1 | 2203558 |  
pack045 | 300.00006 | 2481586 | -1 | 3043139 | 300.00006 | 2182632 | -1 | 2890607 |  
pack046 | 300.00006 | 3417185 | -1 | 1887040 | 300.0001 | 2359243 | -1 | 3395839 |  
pack047 | 300.0001 | 2914443 | -1 | 3259925 | 300.0002 | 1517507 | -1 | 2262689 |  
pack048 | 300.00006 | 3524950 | -1 | 2863099 | 300.0001 | 2179506 | -1 | 3779786 |  
pack049 | 300.00006 | 1233368 | -1 | 1156157 | 300.00012 | 1207335 | -1 | 1213934 |  
pack050 | 300.00012 | 2687400 | -1 | 2248698 | 300.0001 | 2778757 | -1 | 1656720 |  
pack051 | 78.58691 | 336742 | 29 | 247067 | 56.375195 | 257284 | 29 | 234335 |  
pack052 | 300.00015 | 2270726 | -1 | 2456324 | 300.00003 | 2156262 | -1 | 3129102 |  
pack053 | 300.00003 | 3635404 | -1 | 1946355 | 300.00006 | 3641125 | -1 | 1119808 |  
pack054 | 300.00012 | 2176485 | -1 | 1434691 | 300.00012 | 2389586 | -1 | 1059141 |  
pack055 | 300.00006 | 3250650 | -1 | 3224207 | 300.00027 | 2553272 | -1 | 3388731 |  
18.161188 | 88852.3 | 64658.0 | 13.389493 | 71324.7 | 56951.6 |  
2020-05-15
 04:08:38.299972100
Data/PACK/PACK BRANCHEMENT DYNAMIQUE  
 Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|
pack001 | 0.1312951 | 159 | 23 | 220 | 0.0903293 | 123 | 23 | 260 |  
pack002 | 4.8430967 | 15039 | 32 | 22409 | 5.222576 | 15783 | 32 | 37274 |  
pack003 | 0.0150035 | 78 | 29 | 81 | 0.0339879 | 177 | 29 | 329 |  
pack004 | 300.0002 | 1226260 | -1 | 1400765 | 300.0002 | 742196 | -1 | 936340 |  
pack005 | 300.0001 | 2335522 | -1 | 688589 | 300.00012 | 2557118 | -1 | 1168102 |  
pack006 | 300.00027 | 1970800 | -1 | 1657586 | 300.00037 | 1335759 | -1 | 1648411 |  
pack007 | 300.00006 | 3259359 | -1 | 1583439 | 300.00018 | 2354022 | -1 | 1801135 |  
pack008 | 300.0001 | 2439001 | -1 | 948477 | 300.00006 | 1942077 | -1 | 1492982 |  
pack009 | 300.00006 | 1808379 | -1 | 1554668 | 300.0001 | 1239834 | -1 | 1253533 |  
pack010 | 300.00006 | 2478146 | -1 | 734624 | 300.0002 | 2131976 | -1 | 491568 |  
pack011 | 300.00052 | 1147017 | -1 | 2271022 | 300.00027 | 733029 | -1 | 1375427 |  
pack012 | 300.00037 | 1507638 | -1 | 595322 | 300.00015 | 1341726 | -1 | 554242 |  
pack013 | 47.82441 | 420261 | 36 | 220148 | 135.15323 | 1118731 | 36 | 416744 |  
pack014 | 300.0003 | 1806388 | -1 | 1073991 | 300.0001 | 1586614 | -1 | 1521404 |  
pack015 | 300.00015 | 2196679 | -1 | 1105953 | 300.00006 | 2301849 | -1 | 915999 |  
pack016 | 1.7342479 | 4847 | 63 | 5796 | 2.7047853 | 7869 | 63 | 7713 |  
pack017 | 0.0203636 | 38 | 62 | 149 | 0.0279318 | 38 | 62 | 166 |  
pack018 | 300.00015 | 938914 | -1 | 1327396 | 300.0005 | 677769 | -1 | 1458779 |  
pack019 | 16.449284 | 64575 | 59 | 41966 | 14.771077 | 46033 | 59 | 59040 |  
pack020 | 300.00018 | 1075212 | -1 | 385483 | 300.00018 | 827377 | -1 | 1084344 |  
pack021 | 223.55746 | 1273687 | 51 | 838907 | 220.43048 | 1144190 | 51 | 1344684 |  
pack022 | 300.0005 | 618775 | -1 | 898174 | 300.0005 | 551451 | -1 | 752098 |  
pack023 | 300.0001 | 1335214 | -1 | 1176204 | 300.00012 | 1139955 | -1 | 1303064 |  
pack024 | 300.00037 | 752771 | -1 | 1115344 | 300.00107 | 646076 | -1 | 817501 |  
pack025 | 300.00095 | 753584 | -1 | 875797 | 300.0002 | 602635 | -1 | 780167 |  
pack026 | 300.00006 | 1620546 | -1 | 399720 | 300.00037 | 1766765 | -1 | 453818 |  
pack027 | 300.0004 | 1232952 | -1 | 773199 | 300.0003 | 970185 | -1 | 738121 |  
pack028 | 300.00027 | 910519 | -1 | 556493 | 300.00018 | 728758 | -1 | 1063635 |  
pack029 | 148.59103 | 691461 | 43 | 640891 | 247.98248 | 678213 | 43 | 698955 |  
pack030 | 0.3433657 | 2210 | 20 | 2401 | 0.3448451 | 1726 | 20 | 3169 |  
pack031 | 0.093017 | 1793 | 70 | 67 | 0.088560306 | 1615 | 70 | 662 |  
pack032 | 300.00006 | 5169270 | -1 | 547948 | 300.00034 | 3282631 | -1 | 2567518 |  
pack033 | 300.0001 | 3947843 | -1 | 2508170 | 300.00003 | 3357400 | -1 | 4147720 |  
pack034 | 300.0001 | 4152066 | -1 | 1834117 | 300.00012 | 2714306 | -1 | 4035363 |  
pack035 | 300.00003 | 4167510 | -1 | 2169551 | 300.00003 | 4811825 | -1 | 1091244 |  
pack036 | 300.00024 | 2627681 | -1 | 1768881 | 300.00046 | 2867927 | -1 | 1296468 |  
pack037 | 300.00012 | 2701486 | -1 | 2721451 | 300.00006 | 2499003 | -1 | 1336975 |  
pack038 | 300.00006 | 2245849 | -1 | 2828267 | 300.00006 | 2824360 | -1 | 1180918 |  
