2020-05-15
 11:59:14.090968600
Data/PACK_d/
 BRANCHEMENT STATIQUE  
 Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|
pack001 | 300.00027 | 1618096 | -1 | 899655 | 300.0001 | 1662802 | -1 | 620188 |  
pack002 | 300.0003 | 870559 | -1 | 625835 | 300.00024 | 746100 | -1 | 998998 |  
pack003 | 300.0002 | 1252806 | -1 | 1724155 | 300.00015 | 1210959 | -1 | 2863292 |  
pack004 | 300.00006 | 1843547 | -1 | 67483 | 300.00012 | 1773404 | -1 | 876170 |  
pack005 | 300.00027 | 2381120 | -1 | 550714 | 300.00006 | 2424283 | -1 | 308970 |  
pack006 | 300.00006 | 2096027 | -1 | 744217 | 300.00012 | 1219870 | -1 | 367880 |  
pack007 | 300.0166 | 1393353 | -1 | 770 | 300.0002 | 1556069 | -1 | 840527 |  
pack008 | 300.00012 | 1995289 | -1 | 2481 | 300.0001 | 2971492 | -1 | 94027 |  
pack009 | 300.00006 | 1340433 | -1 | 2292 | 300.0004 | 1829810 | -1 | 355641 |  
pack010 | 300.00006 | 1741209 | -1 | 786385 | 300.00006 | 1649406 | -1 | 520637 |  
pack011 | 300.0001 | 1409141 | -1 | 420907 | 300.00015 | 1294185 | -1 | 466711 |  
pack012 | 300.0001 | 2432888 | -1 | 102738 | 300.00006 | 2740916 | -1 | 25471 |  
pack013 | 300.00012 | 1960432 | -1 | 881 | 300.00006 | 2615162 | -1 | 488491 |  
pack014 | 300.00034 | 1188028 | -1 | 455570 | 300.00018 | 1123142 | -1 | 287049 |  
pack015 | 300.00027 | 1639538 | -1 | 95981 | 300.0001 | 2393792 | -1 | 303153 |  
pack016 | 300.0001 | 724610 | -1 | 221763 | 300.00104 | 499468 | -1 | 654526 |  
pack017 | 300.0002 | 919171 | -1 | 26929 | 300.00027 | 941739 | -1 | 165506 |  
pack018 | 300.00006 | 1082914 | -1 | 662448 | 300.0005 | 390381 | -1 | 232755 |  
pack019 | 300.00027 | 954121 | -1 | 443087 | 300.00024 | 931657 | -1 | 441666 |  
pack020 | 300.0001 | 804760 | -1 | 1291 | 300.0001 | 373581 | -1 | 319549 |  
pack021 | 300.001 | 1082754 | -1 | 677340 | 300.0095 | 250180 | -1 | 105192 |  
pack022 | 300.00034 | 835790 | -1 | 732 | 300.00012 | 165645 | -1 | 107815 |  
pack023 | 300.0001 | 1234521 | -1 | 38973 | 300.0001 | 1441860 | -1 | 20843 |  
pack024 | 300.0002 | 1124949 | -1 | 43259 | 300.0001 | 833105 | -1 | 567388 |  
pack025 | 300.00015 | 1527340 | -1 | 2366 | 300.0002 | 1212970 | -1 | 338175 |  
pack026 | 300.0001 | 957581 | -1 | 2067972 | 300.00006 | 704668 | -1 | 1391645 |  
pack027 | 300.00052 | 699967 | -1 | 635075 | 300.0002 | 557630 | -1 | 500688 |  
pack028 | 300.0003 | 627346 | -1 | 718170 | 300.00018 | 836995 | -1 | 203971 |  
pack029 | 300.00006 | 1007112 | -1 | 425184 | 300.0001 | 683040 | -1 | 927659 |  
pack030 | 300.0003 | 1748507 | -1 | 476095 | 300.00116 | 964008 | -1 | 602654 |  
pack031 | 300.00006 | 4948615 | -1 | 80710 | 300.0001 | 5078815 | -1 | 96063 |  
pack032 | 0.0570795 | 658 | 2943 | 17 | 0.0304877 | 148 | 2943 | 91 |  
